Date,COST,LOW,TGT,WMT
2022-01-06,523.4614868164062,237.42852783203125,202.07260131835938,45.31489562988281
2022-01-07,510.493896484375,231.2576904296875,201.57470703125,45.747459411621094
2022-01-10,493.9465637207031,228.12625122070312,198.63992309570312,45.6590461730957
2022-01-11,497.02191162109375,229.79327392578125,198.75343322753906,45.52960205078125
2022-01-12,500.6111755371094,230.9169158935547,196.06321716308594,45.28963851928711
2022-01-13,492.1184387207031,230.89849853515625,197.25115966796875,45.93059539794922
2022-01-14,478.89404296875,224.17507934570312,193.3817596435547,45.80113220214844
2022-01-18,464.688720703125,220.3032989501953,192.16766357421875,44.99915313720703
2022-01-19,466.6785888671875,216.87506103515625,195.51295471191406,45.447513580322266
2022-01-20,459.6902160644531,206.9230194091797,193.66127014160156,44.58869934082031
2022-01-21,458.5381774902344,207.93026733398438,189.75692749023438,44.263484954833984
2022-01-24,465.47894287109375,214.70355224609375,192.66551208496094,44.26664352416992
2022-01-25,454.4537353515625,212.54127502441406,187.51217651367188,43.30364227294922
2022-01-26,460.3089904785156,210.7763214111328,184.9180145263672,42.861602783203125
2022-01-27,459.4046325683594,208.77114868164062,185.32855224609375,42.8900146484375
2022-01-28,468.8398742675781,217.14305114746094,190.123779296875,43.42045974731445
2022-01-31,480.9314880371094,219.32383728027344,192.53448486328125,44.14350509643555
2022-02-01,484.0542907714844,220.24786376953125,191.48634338378906,44.49081802368164
2022-02-02,497.0123596191406,220.95016479492188,190.07138061523438,44.471866607666016
2022-02-03,497.5272216796875,216.32989501953125,186.2369384765625,44.516075134277344
2022-02-04,495.6201477050781,211.67263793945312,186.95314025878906,43.991943359375
2022-02-07,491.9205017089844,209.77833557128906,184.5511474609375,43.55938720703125
2022-02-08,496.93609619140625,214.15835571289062,186.0010986328125,43.5688591003418
2022-02-09,504.25921630859375,215.91407775878906,189.22415161132812,43.47414016723633
2022-02-10,494.3900451660156,210.12950134277344,186.7784423828125,42.96580123901367
2022-02-11,485.989501953125,208.75262451171875,184.7869873046875,42.7289924621582
2022-02-14,483.0239562988281,208.7895965576172,182.17544555664062,42.293270111083984
2022-02-15,490.0419616699219,210.7763214111328,181.74559020996094,42.42588424682617
2022-02-16,488.5926208496094,209.7690887451172,182.29818725585938,42.160667419433594
2022-02-17,491.081298828125,206.79364013671875,178.9559326171875,43.849876403808594
2022-02-18,488.85003662109375,205.77720642089844,179.29808044433594,43.5688591003418
2022-02-22,478.8474426269531,198.29237365722656,172.24510192871094,43.082618713378906
2022-02-23,472.24896240234375,198.75439453125,166.58689880371094,42.64057922363281
2022-02-24,482.0894470214844,197.20199584960938,168.03436279296875,42.47639846801758
2022-02-25,493.44610595703125,202.53378295898438,174.7627410888672,43.060523986816406
2022-02-28,495.1242980957031,204.27099609375,175.2452392578125,42.67531967163086
2022-03-01,498.6332702636719,204.6776123046875,192.49166870117188,42.937381744384766
2022-03-02,503.4678039550781,211.29376220703125,197.29019165039062,42.991050720214844
2022-03-03,508.2832336425781,209.0945587158203,196.36026000976562,43.97932052612305
2022-03-04,501.0839538574219,207.0523681640625,196.58836364746094,45.093875885009766
2022-03-07,503.9637145996094,205.3798370361328,185.13168334960938,44.73077392578125
2022-03-08,499.0433654785156,206.30392456054688,183.1754608154297,43.805667877197266
2022-03-09,503.1340637207031,208.7249298095703,189.48272705078125,44.032989501953125
2022-03-10,507.9684143066406,207.14480590820312,188.41250610351562,45.03388595581055
